Recipe Name	Image	Materials Needed	Obtained From	Sell Price	NA
Apple rug	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/5d/NH-Apple_rug.png/revision/latest/scale-to-width-down/50?cb=20200329070930"" 	 alt=""NH-Apple rug""  	class="""" 	 	data-image-key=""NH-Apple_rug.png"" 	data-image-name=""NH-Apple rug.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"				NA
Apple wall	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a2/NH-Apple_wall.png/revision/latest/scale-to-width-down/50?cb=20200326055058"" 	 alt=""NH-Apple wall""  	class="""" 	 	data-image-key=""NH-Apple_wall.png"" 	data-image-name=""NH-Apple wall.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"20x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/ff/NH-apple-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193601"" 	 alt=""NH-apple-icon""  	class="""" 	 	data-image-key=""NH-apple-icon.png"" 	data-image-name=""NH-apple-icon.png"" 	 	 width=""18""  	 height=""19""  	 	 	 	>apple"	Message in a bottle	4,000 Bells	NA
Backyard lawn	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0a/NH-Backyard_lawn.png/revision/latest/scale-to-width-down/50?cb=20200326060311"" 	 alt=""NH-Backyard lawn""  	class="""" 	 	data-image-key=""NH-Backyard_lawn.png"" 	data-image-name=""NH-Backyard lawn.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"30x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/NH-clump_of_weeds-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193954"" 	 alt=""NH-clump of weeds-icon""  	class="""" 	 	data-image-key=""NH-clump_of_weeds-icon.png"" 	data-image-name=""NH-clump of weeds-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>clump of weeds"	Island resident	600 Bells	NA
Bamboo flooring	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f1/Bamboo_flooring.png/revision/latest/scale-to-width-down/50?cb=20200329083743"" 	 alt=""Bamboo flooring""  	class="""" 	 	data-image-key=""Bamboo_flooring.png"" 	data-image-name=""Bamboo flooring.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"15x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/ae/NH-bamboo_piece-icon.png/revision/latest/scale-to-width-down/18?cb=20200328211324"" 	 alt=""NH-bamboo piece-icon""  	class="""" 	 	data-image-key=""NH-bamboo_piece-icon.png"" 	data-image-name=""NH-bamboo piece-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>bamboo piece"		2,400 Bells	NA
Bamboo wall	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/6f/Bamboo_wall.png/revision/latest/scale-to-width-down/50?cb=20200329083809"" 	 alt=""Bamboo wall""  	class="""" 	 	data-image-key=""Bamboo_wall.png"" 	data-image-name=""Bamboo wall.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"15x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/ae/NH-bamboo_piece-icon.png/revision/latest/scale-to-width-down/18?cb=20200328211324"" 	 alt=""NH-bamboo piece-icon""  	class="""" 	 	data-image-key=""NH-bamboo_piece-icon.png"" 	data-image-name=""NH-bamboo piece-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>bamboo piece"			NA
Bamboo-grove wall	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/88/NH-Bamboo-grove_wall.png/revision/latest/scale-to-width-down/50?cb=20200326044637"" 	 alt=""NH-Bamboo-grove wall""  	class="""" 	 	data-image-key=""NH-Bamboo-grove_wall.png"" 	data-image-name=""NH-Bamboo-grove wall.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"7x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b4/NH-young_spring_bamboo-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200219"" 	 alt=""NH-young spring bamboo-icon""  	class="""" 	 	data-image-key=""NH-young_spring_bamboo-icon.png"" 	data-image-name=""NH-young spring bamboo-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>young spring bamboo
3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/79/NH-bamboo_shoot-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193628"" 	 alt=""NH-bamboo shoot-icon""  	class="""" 	 	data-image-key=""NH-bamboo_shoot-icon.png"" 	data-image-name=""NH-bamboo shoot-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>bamboo shoot"	Balloon	4,300 Bells	NA
Basement flooring	50px	"10x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/01/NH-stone-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195755"" 	 alt=""NH-stone-icon""  	class="""" 	 	data-image-key=""NH-stone-icon.png"" 	data-image-name=""NH-stone-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>stone"	Island resident		NA
Brown herringbone wall	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/69/NH-Brown_herringbone_wall.png/revision/latest/scale-to-width-down/50?cb=20200326062747"" 	 alt=""NH-Brown herringbone wall""  	class="""" 	 	data-image-key=""NH-Brown_herringbone_wall.png"" 	data-image-name=""NH-Brown herringbone wall.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"15x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/NH-softwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195710"" 	 alt=""NH-softwood-icon""  	class="""" 	 	data-image-key=""NH-softwood-icon.png"" 	data-image-name=""NH-softwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>softwood"	Message in a bottle		NA
Cherry rug	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a2/NH-Cherry_rug.png/revision/latest/scale-to-width-down/50?cb=20200329071017"" 	 alt=""NH-Cherry rug""  	class="""" 	 	data-image-key=""NH-Cherry_rug.png"" 	data-image-name=""NH-Cherry rug.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"6x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/bf/NH-cherry-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193824"" 	 alt=""NH-cherry-icon""  	class="""" 	 	data-image-key=""NH-cherry-icon.png"" 	data-image-name=""NH-cherry-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>cherry"	Island resident		NA
Cherry wall	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0a/NH-Cherry_wall.png/revision/latest/scale-to-width-down/50?cb=20200329072823"" 	 alt=""NH-Cherry wall""  	class="""" 	 	data-image-key=""NH-Cherry_wall.png"" 	data-image-name=""NH-Cherry wall.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"				NA
